Time,Strain
-1.2692871085,-6.274165442353859e-24
-1.269042967875,-6.4824389829961644e-24
-1.26879882725,-6.682241236046193e-24
-1.268554686625,-6.873385971499923e-24
-1.268310546,-7.055700609777534e-24
-1.268066405375,-7.229027212302147e-24
-1.26782226475,-7.393223286237619e-24
-1.267578124125,-7.548161562547686e-24
-1.2673339835,-7.693728313416293e-24
-1.267089842875,-7.829820511896644e-24
-1.26684570225,-7.956342733785817e-24
-1.266601561625,-8.073204942516437e-24
-1.266357421,-8.180322175850002e-24
-1.266113280375,-8.2776166788443e-24
-1.26586913975,-8.365022194990831e-24
-1.265624999125,-8.442489177760175e-24
-1.2653808585,-8.509989121463225e-24
-1.265136717875,-8.567516450066356e-24
-1.26489257725,-8.615087359933223e-24
-1.264648436625,-8.652736146023113e-24
-1.264404296,-8.68051031353017e-24
-1.264160155375,-8.698466018662536e-24
-1.26391601475,-8.706665190734265e-24
-1.263671874125,-8.705175144391365e-24
-1.2634277335,-8.694070636687039e-24
-1.263183592875,-8.673437398066598e-24
-1.26293945225,-8.643375647388225e-24
-1.262695311625,-8.604002353909633e-24
-1.262451171,-8.555451853663893e-24
-1.262207030375,-8.49787525823806e-24
-1.26196288975,-8.43143938344605e-24
-1.261718749125,-8.356325672664596e-24
-1.2614746085,-8.272729158683273e-24
-1.261230467875,-8.180857225500066e-24
-1.26098632725,-8.080927872908027e-24
-1.260742186625,-7.973167337827349e-24
-1.260498046,-7.857807307875939e-24
-1.260253905375,-7.735082493861116e-24
-1.26000976475,-7.605229662740089e-24
-1.259765624125,-7.468488954272938e-24
-1.2595214835,-7.325107378338362e-24
-1.259277342875,-7.175343320523398e-24
-1.25903320225,-7.01947033391236e-24
-1.258789061625,-6.857778729030771e-24
-1.258544921,-6.690574243662738e-24
-1.258300780375,-6.518173971579482e-24
-1.25805663975,-6.340900528033888e-24
-1.257812499125,-6.1590760304530326e-24
-1.2575683585,-5.97301766345937e-24
-1.257324217875,-5.78303613601879e-24
-1.25708007725,-5.5894372642465764e-24
-1.256835936625,-5.392525738559487e-24
-1.256591796,-5.192609467627289e-24
-1.256347655375,-4.990002978936106e-24
-1.25610351475,-4.785028949070663e-24
-1.255859374125,-4.57801763491495e-24
-1.2556152335,-4.3693045774607414e-24
-1.255371092875,-4.159227372092292e-24
-1.25512695225,-3.948122433683061e-24
-1.254882811625,-3.736322389826962e-24
-1.254638671,-3.5241541546511255e-24
-1.254394530375,-3.311937311115997e-24
-1.25415038975,-3.0999825513310638e-24
-1.253906249125,-2.888590468005227e-24
-1.2536621085,-2.6780514129172813e-24
-1.253417967875,-2.4686469875074515e-24
-1.25317382725,-2.260653079292524e-24
-1.252929686625,-2.054343646988501e-24
-1.252685546,-1.8499940554839957e-24
-1.252441405375,-1.6478827433502487e-24
-1.25219726475,-1.448290332135394e-24
-1.251953124125,-1.2514959676392318e-24
-1.2517089835,-1.0577716406685659e-24
-1.251464842875,-8.67376106439274e-25
-1.25122070225,-6.8055029800122835e-25
-1.250976561625,-4.975155855978583e-25
-1.250732421,-3.184751868155047e-25
-1.250488280375,-1.4361803927494916e-25
-1.25024413975,2.68761439657344e-26
-1.249999999125,1.9283211229134774e-25
-1.2497558585,3.540759697888248e-25
-1.249511717875,5.104346092792394e-25
-1.24926757725,6.617377362711892e-25
-1.249023436625,8.078216236736934e-25
-1.248779296,9.485332712094144e-25
-1.248535155375,1.0837338645040801e-24
-1.24829101475,1.2133010657202271e-24
-1.248046874125,1.3371301852000682e-24
-1.2478027335,1.4551344070893135e-24
-1.247558592875,1.567244123310723e-24
-1.24731445225,1.6734053586647997e-24
-1.247070311625,1.7735773361274572e-24
-1.246826171,1.8677293720297695e-24
-1.246582030375,1.95583749160454e-24
-1.24633788975,2.0378814709170224e-24
-1.246093749125,2.1138433155964608e-24
-1.2458496085,2.1837081216059348e-24
-1.245605467875,2.2474675746250943e-24
-1.24536132725,2.305125262369104e-24
-1.245117186625,2.3567021322254893e-24
-1.244873046,2.4022403225138222e-24
-1.244628905375,2.4418041922827838e-24
-1.24438476475,2.4754782628258934e-24
-1.244140624125,2.503362608488637e-24
-1.2438964835,2.5255669011700603e-24
-1.243652342875,2.542204744308901e-24
-1.24340820225,2.5533899250465333e-24
-1.243164061625,2.559235592445309e-24
-1.242919921,2.559856333619597e-24
-1.242675780375,2.5553721896686338e-24
-1.24243163975,2.5459132590460317e-24
-1.242187499125,2.5316236707280517e-24
-1.2419433585,2.5126640916581584e-24
-1.241699217875,2.4892123477618132e-24
-1.24145507725,2.4614621817041698e-24
-1.241210936625,2.429620606451681e-24
-1.240966796,2.3939045483938866e-24
-1.240722655375,2.3545373419376307e-24
-1.24047851475,2.3117453189574708e-24
-1.240234374125,2.265754630924376e-24
-1.2399902335,2.2167887312055953e-24
-1.239746092875,2.1650673114224504e-24
-1.23950195225,2.1108074268490664e-24
-1.239257811625,2.05422689646339e-24
-1.239013671,1.995549170963076e-24
-1.238769530375,1.9350082263951124e-24
-1.23852538975,1.872851902388626e-24
-1.238281249125,1.8093424183876133e-24
-1.2380371085,1.7447534931563906e-24
-1.237792967875,1.6793644864603082e-24
-1.23754882725,1.6134530393129247e-24
-1.237304686625,1.5472883261005264e-24
-1.237060546,1.4811268381640127e-24
-1.236816405375,1.4152116792944749e-24
-1.23657226475,1.349775186573271e-24
-1.236328124125,1.2850438263989081e-24
-1.2360839835,1.2212438967503286e-24
-1.235839842875,1.158606475338786e-24
-1.23559570225,1.0973702421582361e-24
-1.235351561625,1.0377813796175944e-24
-1.235107421,9.800906578992954e-25
-1.234863280375,9.245486616487543e-25
-1.23461913975,8.714004531261952e-25
-1.234374999125,8.208807155913668e-25
-1.2341308585,7.732099516366981e-25
-1.233886717875,7.285920247204217e-25
-1.23364257725,6.872132785388675e-25
-1.233398436625,6.492434167717018e-25
-1.233154296,6.148381108760832e-25
-1.232910155375,5.841429933451687e-25
-1.23266601475,5.572983945538761e-25
-1.232421874125,5.344438774557306e-25
-1.2321777335,5.15721317022218e-25
-1.231933592875,5.012752078649541e-25
-1.23168945225,4.912494172291417e-25
-1.231445311625,4.857807630185392e-25
-1.231201171,4.849910655374986e-25
-1.230957030375,4.889799931765595e-25
-1.23071288975,4.97820764638088e-25
